,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
43,David Argüelles,es ESP,MF,Getafe,La Liga,23-048,2002,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
44,José Arnaiz,es ESP,"FW,MF",Osasuna,La Liga,29-309,1995,7,0,50,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,3,7,0.00,0.00,0.00,0.00,0.00,0.12,0.16,0.28,0.12,0.28
45,Sergio Arribas,es ESP,DF,Betis,La Liga,22-008,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46,Takuma Asano,jp JPN,"FW,MF",Mallorca,La Liga,30-100,1994,13,6,557,6.2,0,0,0,0,0,0,0,0,1.3,1.3,0.0,1.3,19,11,42,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20
47,Raúl Asencio,es ESP,DF,Real Madrid,La Liga,22-005,2003,12,7,769,8.5,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.5,3,11,4,0.00,0.12,0.12,0.00,0.12,0.00,0.05,0.05,0.00,0.05
48,Iago Aspas,es ESP,"FW,MF",Celta Vigo,La Liga,37-201,1987,17,13,"1,235",13.7,7,3,10,4,3,4,4,1,6.4,3.2,2.8,6.0,39,94,92,0.51,0.22,0.73,0.29,0.51,0.47,0.20,0.67,0.24,0.44
49,Yaser Asprilla,co COL,"FW,MF",Girona,La Liga,21-091,2003,15,9,841,9.3,2,0,2,2,0,0,2,0,1.3,1.3,1.3,2.5,40,59,91,0.21,0.00,0.21,0.21,0.21,0.14,0.14,0.27,0.14,0.27
50,Ezequiel Ávila,ar ARG,FW,Betis,La Liga,31-012,1994,16,6,591,6.6,2,0,2,2,0,0,4,1,1.5,1.5,1.0,2.5,12,18,44,0.30,0.00,0.30,0.30,0.30,0.23,0.15,0.39,0.23,0.39
51,Adam Aznou,ma MAR,"MF,DF",Valladolid,La Liga,18-261,2006,2,1,78,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
52,César Azpilicueta,es ESP,DF,Atlético Madrid,La Liga,35-174,1989,7,6,525,5.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,7,42,8,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
53,Papa Ba,es ESP,MF,Girona,La Liga,20-159,2004,1,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
54,Loïc Bade,fr FRA,DF,Sevilla,La Liga,24-313,2000,19,18,"1,641",18.2,1,1,2,1,0,0,5,0,0.5,0.5,0.6,1.1,6,36,3,0.05,0.05,0.11,0.05,0.11,0.03,0.03,0.06,0.03,0.06
55,Alex Baena,es ESP,"MF,FW",Villarreal,La Liga,23-213,2001,22,21,"1,819",20.2,6,6,12,6,0,1,8,0,5.5,4.7,7.9,12.6,63,136,112,0.30,0.30,0.59,0.30,0.59,0.27,0.39,0.66,0.23,0.62
56,Juma Bah,sl SLE,DF,Valladolid,La Liga,18-313,2006,12,10,864,9.6,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,0,13,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
57,Eric Bailly,ci CIV,DF,Villarreal,La Liga,30-312,1994,10,7,580,6.4,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,1,18,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
58,Stefan Bajcetic,es ESP,MF,Las Palmas,La Liga,20-119,2004,3,2,188,2.1,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,3,10,2,0.48,0.00,0.48,0.48,0.48,0.09,0.05,0.14,0.09,0.14
59,Cédric Bakambu,cd COD,FW,Betis,La Liga,33-313,1991,15,5,505,5.6,1,2,3,1,0,0,4,0,2.2,2.2,0.6,2.8,4,9,33,0.18,0.36,0.53,0.18,0.53,0.40,0.10,0.50,0.40,0.50
60,Alejandro Balde,es ESP,DF,Barcelona,La Liga,21-123,2003,22,20,"1,699",18.9,0,3,3,0,0,0,1,0,0.4,0.4,2.3,2.7,79,69,184,0.00,0.16,0.16,0.00,0.16,0.02,0.12,0.14,0.02,0.14
61,Iván Balliu,al ALB,DF,Rayo Vallecano,La Liga,33-048,1992,17,7,743,8.3,0,0,0,0,0,0,2,0,0.0,0.0,0.4,0.4,6,25,11,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05
62,Jonathan Bamba,ci CIV,"FW,MF",Celta Vigo,La Liga,28-329,1996,12,10,811,9.0,0,1,1,0,0,0,1,0,0.8,0.8,1.8,2.6,31,30,71,0.00,0.11,0.11,0.00,0.11,0.09,0.20,0.29,0.09,0.29
63,Adrian Baquerin,es ESP,FW,Valladolid,La Liga,17-351,2007,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,Valentín Barco,ar ARG,"DF,FW",Sevilla,La Liga,20-210,2004,7,3,288,3.2,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.9,4,13,13,0.00,0.00,0.00,0.00,0.00,0.09,0.20,0.28,0.09,0.28
65,Borna Barišić,hr CRO,DF,Leganés,La Liga,32-100,1992,1,1,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
66,Kike Barja,es ESP,"FW,MF",Osasuna,La Liga,27-323,1997,7,3,200,2.2,0,0,0,0,0,0,2,0,0.2,0.2,0.5,0.7,13,2,26,0.00,0.00,0.00,0.00,0.00,0.07,0.22,0.29,0.07,0.29
67,Enzo Barrenechea,ar ARG,MF,Valencia,La Liga,23-272,2001,17,14,"1,150",12.8,1,1,2,1,0,0,5,0,0.9,0.9,0.4,1.3,9,46,8,0.08,0.08,0.16,0.08,0.16,0.07,0.03,0.10,0.07,0.10
68,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,La Liga,23-053,2001,19,8,805,8.9,1,2,3,1,0,0,4,0,1.4,1.4,1.1,2.5,33,35,108,0.11,0.22,0.34,0.11,0.34,0.16,0.13,0.28,0.16,0.28
69,Pablo Barrios,es ESP,MF,Atlético Madrid,La Liga,21-248,2003,19,18,"1,488",16.5,0,2,2,0,0,0,3,1,0.9,0.9,1.3,2.3,17,91,48,0.00,0.12,0.12,0.00,0.12,0.06,0.08,0.14,0.06,0.14
70,Thierno Barry,fr FRA,FW,Villarreal,La Liga,22-120,2002,23,16,"1,477",16.4,8,3,11,7,1,1,2,0,9.2,8.4,2.2,10.6,23,16,84,0.49,0.18,0.67,0.43,0.61,0.56,0.13,0.69,0.51,0.65
71,Marc Bartra,es ESP,DF,Betis,La Liga,34-034,1991,13,12,"1,106",12.3,2,0,2,2,0,0,1,0,0.8,0.8,0.0,0.8,4,38,1,0.16,0.00,0.16,0.16,0.16,0.07,0.00,0.07,0.07,0.07
72,Aboubacar Bassinga,ci CIV,MF,Las Palmas,La Liga,19-220,2005,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
73,Augusto Batalla,ar ARG,GK,Rayo Vallecano,La Liga,28-294,1996,19,19,"1,710",19.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
74,Rafael Bauza,es ESP,MF,Espanyol,La Liga,20-019,2005,5,2,183,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,7,3,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
75,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,La Liga,30-009,1995,19,10,911,10.1,2,1,3,2,0,0,1,1,1.8,1.8,2.0,3.8,46,23,98,0.20,0.10,0.30,0.20,0.30,0.18,0.19,0.37,0.18,0.37
76,Donny van de Beek,nl NED,MF,Girona,La Liga,27-306,1997,19,14,"1,197",13.3,2,2,4,2,0,0,4,0,1.2,1.2,3.0,4.2,13,38,76,0.15,0.15,0.30,0.15,0.30,0.09,0.23,0.32,0.09,0.31
77,Ismael Bekhoucha,ma MAR,MF,Getafe,La Liga,20-090,2004,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
78,Héctor Bellerín,es ESP,DF,Betis,La Liga,29-336,1995,7,6,524,5.8,0,1,1,0,0,0,1,0,0.2,0.2,2.0,2.2,3,24,20,0.00,0.17,0.17,0.00,0.17,0.03,0.34,0.38,0.03,0.38
79,Jude Bellingham,eng ENG,MF,Real Madrid,La Liga,21-234,2003,20,20,"1,628",18.1,7,6,13,6,1,2,3,1,7.8,6.3,2.7,8.9,54,134,93,0.39,0.33,0.72,0.33,0.66,0.43,0.15,0.58,0.35,0.49
80,Fran Beltrán,es ESP,MF,Celta Vigo,La Liga,26-015,1999,20,19,"1,498",16.6,2,0,2,2,0,0,2,0,0.5,0.5,1.0,1.5,14,95,16,0.12,0.00,0.12,0.12,0.12,0.03,0.06,0.09,0.03,0.09
81,Carlos Benavídez,uy URU,MF,Alavés,La Liga,26-325,1998,10,5,331,3.7,1,1,2,1,0,0,2,0,0.1,0.1,0.6,0.7,3,18,4,0.27,0.27,0.54,0.27,0.54,0.03,0.17,0.20,0.03,0.20
82,Iker Benito,es ESP,"FW,MF",Osasuna,La Liga,22-192,2002,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09
83,Yuri Berchiche,es ESP,DF,Athletic Club,La Liga,35-008,1990,20,13,"1,289",14.3,0,0,0,0,0,0,3,0,0.4,0.4,1.2,1.6,26,90,42,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11
84,Álex Berenguer,es ESP,"FW,MF",Athletic Club,La Liga,29-229,1995,23,17,"1,410",15.7,5,6,11,5,0,1,3,0,5.6,4.8,3.9,8.7,40,50,124,0.32,0.38,0.70,0.32,0.70,0.35,0.25,0.60,0.30,0.55
85,Marc Bernal,es ESP,MF,Barcelona,La Liga,17-268,2007,3,3,242,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,8,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03
86,Juan Bernat,es ESP,"DF,MF",Villarreal,La Liga,31-354,1993,10,1,212,2.4,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.7,4,8,23,0.00,0.42,0.42,0.00,0.42,0.12,0.17,0.29,0.12,0.29
87,Juan Bernat,es ESP,MF,Getafe,La Liga,31-354,1993,2,2,137,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
88,Juan Berrocal,es ESP,DF,Getafe,La Liga,25-290,1999,11,7,704,7.8,0,0,0,0,0,0,6,1,0.2,0.2,0.0,0.2,1,16,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
