,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
41,Shavy Babicka,ga GAB,"MF,FW",Toulouse,Ligue 1,24-265,2000,21,6,761,8.5,4,1,5,4,0,0,1,0,2.6,2.6,1.4,4.0,24,15,88,0.47,0.12,0.59,0.47,0.59,0.30,0.17,0.47,0.30,0.47
42,Juma Bah,sl SLE,"DF,MF",Lens,Ligue 1,18-316,2006,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,Theo Bair,ca CAN,FW,Auxerre,Ligue 1,25-178,1999,19,5,519,5.8,1,1,2,1,0,0,1,0,1.7,1.7,1.2,2.9,6,13,24,0.17,0.17,0.35,0.17,0.35,0.29,0.21,0.50,0.29,0.50
44,Mitchel Bakker,nl NED,"DF,FW",Lille,Ligue 1,24-246,2000,15,7,678,7.5,2,2,4,2,0,0,2,1,2.5,2.5,2.3,4.8,29,32,79,0.27,0.27,0.53,0.27,0.53,0.33,0.30,0.63,0.33,0.63
45,Darryl Bakola,fr FRA,DF,Marseille,Ligue 1,17-083,2007,1,0,12,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46,Dilane Bakwa,fr FRA,"MF,FW",Strasbourg,Ligue 1,22-179,2002,19,18,"1,578",17.5,3,6,9,3,0,0,1,0,3.7,3.7,4.5,8.3,66,73,149,0.17,0.34,0.51,0.17,0.51,0.21,0.26,0.47,0.21,0.47
47,Leonardo Balerdi,ar ARG,DF,Marseille,Ligue 1,26-026,1999,19,19,"1,624",18.0,0,0,0,0,0,0,7,1,0.5,0.5,0.7,1.2,8,83,3,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07
48,Fodé Ballo-Touré,sn SEN,DF,Le Havre,Ligue 1,28-049,1997,1,1,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,Folarin Balogun,us USA,FW,Monaco,Ligue 1,23-233,2001,7,6,469,5.2,3,0,3,3,0,0,0,0,3.8,3.8,0.9,4.7,13,9,57,0.58,0.00,0.58,0.58,0.58,0.73,0.17,0.90,0.73,0.90
50,Abdoulaye Bamba,ci CIV,DF,Angers,Ligue 1,34-302,1990,11,8,790,8.8,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,1,11,3,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
51,Mohamed Bamba,ci CIV,MF,Reims,Ligue 1,20-136,2004,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
52,Valentín Barco,ar ARG,DF,Strasbourg,Ligue 1,20-213,2004,2,2,160,1.8,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,1,10,19,0.00,0.56,0.56,0.00,0.56,0.02,0.32,0.35,0.02,0.35
53,Bradley Barcola,fr FRA,FW,Paris S-G,Ligue 1,22-172,2002,22,19,"1,451",16.1,11,5,16,11,0,0,1,0,10.6,10.6,6.9,17.5,95,56,244,0.68,0.31,0.99,0.68,0.99,0.66,0.43,1.09,0.66,1.09
54,Melvin Bard,fr FRA,"DF,MF",Nice,Ligue 1,24-107,2000,15,13,"1,139",12.7,1,0,1,1,0,0,4,1,1.4,1.4,0.9,2.3,27,46,45,0.08,0.00,0.08,0.08,0.08,0.11,0.07,0.18,0.11,0.18
