,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
345,Reiss Nelson,eng ENG,FW,Arsenal,Premier League,25-064,1999,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
346,Reiss Nelson,eng ENG,FW,Fulham,Premier League,25-064,1999,11,5,487,5.4,1,1,2,1,0,0,1,0,1.1,1.1,1.0,2.1,45,35,63,0.18,0.18,0.37,0.18,0.37,0.20,0.18,0.39,0.20,0.39
347,Neto,br BRA,GK,Bournemouth,Premier League,35-208,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
348,Pedro Neto,pt POR,FW,Chelsea,Premier League,24-340,2000,21,11,"1,130",12.6,2,2,4,2,0,0,6,0,1.1,1.1,2.6,3.7,75,25,109,0.16,0.16,0.32,0.16,0.32,0.09,0.21,0.30,0.09,0.30
349,Eddie Nketiah,eng ENG,"MF,FW",Crystal Palace,Premier League,25-258,1999,17,6,627,7.0,0,1,1,0,0,0,3,0,1.7,1.7,1.3,3.0,30,13,51,0.00,0.14,0.14,0.00,0.14,0.24,0.18,0.42,0.24,0.42
350,Christopher Nkunku,fr FRA,FW,Chelsea,Premier League,27-090,1997,20,3,462,5.1,2,1,3,2,0,0,1,0,4.0,4.0,1.7,5.6,8,12,40,0.39,0.19,0.58,0.39,0.58,0.77,0.33,1.09,0.77,1.09
351,Matheus Nunes,pt POR,"DF,MF",Manchester City,Premier League,26-169,1998,16,10,890,9.9,0,4,4,0,0,0,2,0,0.5,0.5,2.9,3.4,39,34,121,0.00,0.40,0.40,0.00,0.40,0.05,0.29,0.34,0.05,0.34
352,Darwin Núñez,uy URU,FW,Liverpool,Premier League,25-233,1999,18,7,825,9.2,4,2,6,4,0,0,6,0,3.4,3.4,0.9,4.3,19,18,59,0.44,0.22,0.65,0.44,0.65,0.37,0.10,0.47,0.37,0.47
353,Ethan Nwaneri,eng ENG,"MF,FW",Arsenal,Premier League,17-328,2007,14,3,291,3.2,3,0,3,3,0,0,1,0,0.5,0.5,0.3,0.8,14,11,24,0.93,0.00,0.93,0.93,0.93,0.17,0.08,0.25,0.17,0.25
354,Christian Nørgaard,dk DEN,MF,Brentford,Premier League,30-339,1994,21,21,"1,695",18.8,2,2,4,2,0,0,4,1,2.4,2.4,0.5,3.0,9,87,30,0.11,0.11,0.21,0.11,0.21,0.13,0.03,0.16,0.13,0.16
355,Jake O'Brien,ie IRL,DF,Everton,Premier League,23-273,2001,6,3,311,3.5,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1,6,4,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
356,Matt O'Riley,dk DEN,MF,Brighton,Premier League,24-083,2000,11,5,468,5.2,1,1,2,1,0,0,1,0,1.2,1.2,1.2,2.4,9,22,25,0.19,0.19,0.38,0.19,0.38,0.23,0.23,0.46,0.23,0.46
357,Dara O'Shea,ie IRL,DF,Ipswich Town,Premier League,25-345,1999,21,21,"1,862",20.7,0,0,0,0,0,0,5,0,0.8,0.8,0.0,0.8,3,51,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
358,Wilson Odobert,fr FRA,FW,Tottenham,Premier League,20-076,2004,3,2,162,1.8,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,13,10,18,0.00,0.00,0.00,0.00,0.00,0.23,0.03,0.27,0.23,0.27
359,Chiedozie Ogbene,ie IRL,FW,Ipswich Town,Premier League,27-287,1997,5,3,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,0,15,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
360,Caleb Okoli,it ITA,DF,Leicester City,Premier League,23-214,2001,14,9,831,9.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,3,26,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
361,Robin Olsen,se SWE,GK,Aston Villa,Premier League,35-035,1990,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
362,Amadou Onana,be BEL,MF,Aston Villa,Premier League,23-180,2001,17,14,"1,079",12.0,2,0,2,2,0,0,4,0,1.8,1.8,0.2,2.0,13,36,10,0.17,0.00,0.17,0.17,0.17,0.15,0.02,0.17,0.15,0.17
363,André Onana,cm CMR,GK,Manchester Utd,Premier League,28-316,1996,24,24,"2,160",24.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
364,Paul Onuachu,ng NGA,FW,Southampton,Premier League,30-260,1994,14,6,544,6.0,2,0,2,2,0,0,1,0,1.7,1.7,0.3,1.9,5,7,15,0.33,0.00,0.33,0.33,0.33,0.28,0.05,0.32,0.28,0.32
365,Frank Onyeka,ng NGA,MF,Brentford,Premier League,27-042,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
366,Lewis Orford,eng ENG,MF,West Ham,Premier League,18-360,2006,2,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09
367,Stefan Ortega,de GER,GK,Manchester City,Premier League,32-098,1992,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
368,William Osula,dk DEN,"FW,MF",Newcastle Utd,Premier League,21-192,2003,9,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.16
369,Dango Ouattara,bf BFA,FW,Bournemouth,Premier League,23-001,2002,21,12,"1,241",13.8,6,4,10,6,0,0,1,0,5.8,5.8,4.0,9.8,48,25,132,0.44,0.29,0.73,0.44,0.73,0.42,0.29,0.71,0.42,0.71
370,Nico O’Reilly,eng ENG,MF,Manchester City,Premier League,19-328,2005,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12
371,Cole Palmer,eng ENG,MF,Chelsea,Premier League,22-282,2002,24,24,"2,099",23.3,14,6,20,11,3,3,4,0,12.3,9.9,8.2,18.1,80,139,124,0.60,0.26,0.86,0.47,0.73,0.53,0.35,0.88,0.43,0.78
372,Emerson Palmieri,it ITA,DF,West Ham,Premier League,30-193,1994,22,21,"1,632",18.1,2,1,3,2,0,0,5,0,1.6,1.6,1.5,3.1,31,45,63,0.11,0.06,0.17,0.11,0.17,0.09,0.08,0.17,0.09,0.17
373,Lucas Paquetá,br BRA,"MF,FW",West Ham,Premier League,27-169,1997,22,19,"1,609",17.9,4,0,4,2,2,2,6,0,4.7,3.2,2.0,5.1,13,87,56,0.22,0.00,0.22,0.11,0.11,0.27,0.11,0.38,0.18,0.29
374,Thomas Partey,gh GHA,"MF,DF",Arsenal,Premier League,31-244,1993,23,20,"1,853",20.6,3,2,5,3,0,0,2,0,1.6,1.6,1.6,3.2,18,121,26,0.15,0.10,0.24,0.15,0.24,0.08,0.08,0.15,0.08,0.15
375,Nathan Patterson,sct SCO,"DF,FW",Everton,Premier League,23-119,2001,7,0,129,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,4,7,7,0.00,0.00,0.00,0.00,0.00,0.05,0.24,0.29,0.05,0.29
376,Andreas Pereira,br BRA,MF,Fulham,Premier League,29-042,1996,21,16,"1,274",14.2,2,2,4,2,0,1,7,0,3.0,2.2,3.0,5.2,13,75,48,0.14,0.14,0.28,0.14,0.28,0.21,0.21,0.43,0.16,0.37
377,Ricardo Pereira,pt POR,DF,Leicester City,Premier League,31-129,1993,2,2,146,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
378,Kalvin Phillips,eng ENG,MF,Ipswich Town,Premier League,29-072,1995,13,10,861,9.6,0,0,0,0,0,0,3,1,0.3,0.3,0.1,0.4,4,36,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
379,Jaden Philogene Bidace,eng ENG,"FW,MF",Aston Villa,Premier League,23-004,2002,11,2,332,3.7,0,0,0,0,0,0,4,1,0.5,0.5,0.3,0.8,7,4,17,0.00,0.00,0.00,0.00,0.00,0.13,0.08,0.20,0.13,0.20
380,Jaden Philogene Bidace,eng ENG,"FW,MF",Ipswich Town,Premier League,23-004,2002,3,1,133,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,2,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
381,Jordan Pickford,eng ENG,GK,Everton,Premier League,30-342,1994,23,23,"2,070",23.0,0,1,1,0,0,0,6,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.04,0.04,0.00,0.04,0.00,0.02,0.02,0.00,0.02
382,Ethan Pinnock,jm JAM,DF,Brentford,Premier League,31-259,1993,16,16,"1,440",16.0,2,0,2,2,0,0,2,0,0.9,0.9,1.2,2.0,2,33,8,0.12,0.00,0.12,0.12,0.12,0.05,0.07,0.13,0.05,0.13
383,Daniel Podence,pt POR,"MF,FW",Wolves,Premier League,29-114,1995,2,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
384,Alfie Pond,eng ENG,DF,Wolves,Premier League,20-348,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
385,Nick Pope,eng ENG,GK,Newcastle Utd,Premier League,32-299,1992,15,15,"1,350",15.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
